Tenure Months,Location,Device Class,Games Product,Music Product,Education Product,Call Center,Video Product,Use MyApp,Payment Method,Monthly Purchase (Thou. IDR),Churn Label,Longitude,Latitude,CLTV (Predicted Thou. IDR)
7,Jakarta,High End,No,No,Yes,No,No,No,Debit,97.69500000000001,Yes,106.816666,-6.2,4494.1
12,Jakarta,High End,Yes,No,No,No,No,No,Pulsa,102.635,Yes,106.816666,-6.2,7547.8
5,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,27.365000000000002,Yes,106.816666,-6.2,3385.2000000000003
25,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,128.05,Yes,106.816666,-6.2,6938.1
68,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Debit,143.0,Yes,106.816666,-6.2,6544.2
55,Jakarta,High End,Yes,Yes,No,No,Yes,No,Pulsa,125.775,Yes,106.816666,-6.2,6700.2
37,Jakarta,High End,No,No,No,No,No,No,Pulsa,99.45,Yes,106.816666,-6.2,3630.9
10,Jakarta,High End,Yes,No,No,No,Yes,Yes,Pulsa,130.32500000000002,Yes,106.816666,-6.2,7797.400000000001
3,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.72000000000001,Yes,106.816666,-6.2,5739.5
27,Jakarta,High End,No,No,Yes,No,No,No,Pulsa,101.465,Yes,106.816666,-6.2,6029.400000000001
25,Jakarta,Mid End,Yes,Yes,Yes,No,Yes,Yes,Credit,76.18,Yes,106.816666,-6.2,5447.0
1,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,46.08500000000001,Yes,106.816666,-6.2,2991.3
2,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,57.655,Yes,106.816666,-6.2,3341.0
1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,91.58500000000001,Yes,106.816666,-6.2,5153.2
8,Jakarta,Mid End,Yes,No,No,Yes,No,Yes,Pulsa,92.495,Yes,106.816666,-6.2,3460.6
1,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,59.345,Yes,106.816666,-6.2,3380.0
7,Jakarta,High End,No,No,No,No,Yes,Yes,Digital Wallet,123.5,Yes,106.816666,-6.2,3621.8
20,Bandung,High End,Yes,No,No,No,No,No,Pulsa,107.12,Yes,107.60981,-6.914744,7434.7
4,Bandung,High End,No,No,No,No,No,No,Debit,92.17000000000002,Yes,107.60981,-6.914744,5573.1
58,Bandung,Mid End,No,Yes,Yes,No,No,Yes,Pulsa,58.89,Yes,107.60981,-6.914744,7077.2
2,Bandung,High End,No,No,Yes,Yes,Yes,Yes,Pulsa,135.72,Yes,107.60981,-6.914744,6097.0
53,Bandung,High End,No,No,Yes,No,Yes,Yes,Debit,123.30499999999999,Yes,107.60981,-6.914744,5626.400000000001
15,Bandung,High End,No,No,No,No,No,No,Digital Wallet,96.78500000000001,Yes,107.60981,-6.914744,7432.1
7,Bandung,High End,Yes,No,No,No,No,No,Debit,99.385,Yes,107.60981,-6.914744,5744.7
1,Bandung,Mid End,No,Yes,No,No,No,No,Debit,38.935,Yes,107.60981,-6.914744,5894.2
8,Bandung,High End,No,No,No,No,No,Yes,Debit,109.85000000000001,Yes,107.60981,-6.914744,2797.6
13,Bandung,High End,No,Yes,Yes,No,No,No,Pulsa,103.025,Yes,107.60981,-6.914744,6684.6
1,Bandung,Mid End,No,No,No,No,No,No,Pulsa,32.24,Yes,107.60981,-6.914744,6306.3
6,Bandung,High End,No,Yes,Yes,No,No,Yes,Pulsa,118.3,Yes,107.60981,-6.914744,2967.9
1,Bandung,High End,No,No,No,No,No,Yes,Pulsa,103.87,Yes,107.60981,-6.914744,4412.2
19,Bandung,High End,Yes,No,Yes,Yes,Yes,Yes,Pulsa,138.57999999999998,Yes,107.60981,-6.914744,4893.2
2,Bandung,Mid End,No,No,No,No,No,No,Credit,59.800000000000004,Yes,107.60981,-6.914744,3467.1
4,Bandung,High End,No,No,No,No,No,No,Pulsa,91.19500000000001,Yes,107.60981,-6.914744,2895.1
4,Bandung,Mid End,No,No,No,Yes,No,No,Digital Wallet,65.065,Yes,107.60981,-6.914744,4412.2
1,Bandung,Mid End,No,No,No,No,Yes,No,Digital Wallet,71.76,Yes,107.60981,-6.914744,4729.400000000001
1,Bandung,High End,Yes,No,No,No,No,Yes,Digital Wallet,109.97999999999999,Yes,107.60981,-6.914744,3229.2000000000003
2,Bandung,Mid End,No,Yes,No,No,No,No,Digital Wallet,70.72,Yes,107.60981,-6.914744,3322.8
11,Bandung,High End,No,Yes,No,No,Yes,Yes,Pulsa,123.5,Yes,107.60981,-6.914744,7774.0
15,Bandung,High End,No,Yes,No,No,No,No,Pulsa,96.72000000000001,Yes,107.60981,-6.914744,6000.8
1,Bandung,Mid End,Yes,No,No,No,No,No,Digital Wallet,63.115,Yes,107.60981,-6.914744,7393.1
2,Bandung,High End,No,No,No,No,No,No,Pulsa,91.52000000000001,Yes,107.60981,-6.914744,7393.1
1,Bandung,Mid End,No,Yes,No,No,Yes,No,Pulsa,52.260000000000005,Yes,107.60981,-6.914744,7576.400000000001
2,Bandung,Mid End,No,No,No,No,No,No,Credit,57.980000000000004,Yes,107.60981,-6.914744,6349.2
3,Bandung,Mid End,No,No,Yes,No,No,Yes,Pulsa,53.495,Yes,107.60981,-6.914744,3008.2000000000003
13,Bandung,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,138.97,Yes,107.60981,-6.914744,3242.2000000000003
59,Bandung,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.155,Yes,107.60981,-6.914744,6609.2
16,Bandung,High End,No,No,No,Yes,Yes,Yes,Pulsa,122.78500000000001,Yes,107.60981,-6.914744,4953.0
1,Bandung,Mid End,No,No,No,No,No,No,Debit,32.24,Yes,107.60981,-6.914744,6613.1
1,Bandung,High End,No,No,No,No,No,No,Digital Wallet,91.78,Yes,107.60981,-6.914744,4339.400000000001
5,Bandung,High End,No,Yes,No,Yes,No,No,Pulsa,111.02000000000001,Yes,107.60981,-6.914744,4778.8
52,Bandung,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,136.565,Yes,107.60981,-6.914744,6290.7
18,Bandung,High End,No,No,Yes,No,Yes,Yes,Digital Wallet,123.69500000000001,Yes,107.60981,-6.914744,6035.900000000001
1,Bandung,High End,No,No,No,No,No,No,Pulsa,91.0,Yes,107.60981,-6.914744,5322.2
8,Bandung,High End,No,Yes,No,No,No,No,Pulsa,96.85000000000001,Yes,107.60981,-6.914744,5648.5
10,Bandung,Mid End,No,No,No,No,No,No,Credit,58.30500000000001,Yes,107.60981,-6.914744,5279.3
24,Bandung,High End,No,No,No,No,No,No,Pulsa,98.92999999999999,Yes,107.60981,-6.914744,2623.4
1,Bandung,High End,Yes,No,No,No,No,No,Digital Wallet,95.67999999999999,Yes,107.60981,-6.914744,3334.5
4,Bandung,High End,No,No,No,No,Yes,Yes,Pulsa,124.08500000000001,Yes,107.60981,-6.914744,4780.1
32,Bandung,High End,No,No,No,No,No,No,Pulsa,97.37,Yes,107.60981,-6.914744,5336.5
5,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,104.78,Yes,106.816666,-6.2,7429.5
38,Jakarta,Mid End,Yes,Yes,No,Yes,Yes,Yes,Credit,104.39,Yes,106.816666,-6.2,2692.3
24,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,121.09500000000001,Yes,106.816666,-6.2,2875.6
54,Jakarta,Mid End,Yes,Yes,No,Yes,Yes,Yes,Debit,107.185,Yes,106.816666,-6.2,5393.7
2,Jakarta,High End,No,No,No,No,No,No,Pulsa,91.455,Yes,106.816666,-6.2,3472.3
7,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.005,Yes,106.816666,-6.2,3214.9
2,Jakarta,High End,No,No,Yes,No,No,No,Digital Wallet,104.78,Yes,106.816666,-6.2,3487.9
68,Jakarta,Mid End,No,Yes,Yes,Yes,No,Yes,Debit,98.54,Yes,106.816666,-6.2,6373.900000000001
43,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,135.98,Yes,106.816666,-6.2,6825.0
63,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,134.42000000000002,Yes,106.816666,-6.2,5657.6
2,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,117.52000000000001,Yes,106.816666,-6.2,5404.1
4,Jakarta,High End,No,Yes,Yes,No,No,No,Debit,110.24,Yes,106.816666,-6.2,6420.7
21,Jakarta,Mid End,Yes,No,No,No,Yes,No,Pulsa,54.47,Yes,106.816666,-6.2,6211.400000000001
10,Jakarta,High End,No,No,No,No,No,Yes,Debit,104.325,Yes,106.816666,-6.2,4677.400000000001
27,Jakarta,Mid End,Yes,No,No,No,No,No,Credit,39.975,Yes,106.816666,-6.2,3805.1
5,Jakarta,High End,No,No,Yes,No,Yes,Yes,Debit,125.45,Yes,106.816666,-6.2,6997.900000000001
2,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,111.34500000000001,Yes,106.816666,-6.2,5041.400000000001
25,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Debit,136.435,Yes,106.816666,-6.2,4734.6
1,Jakarta,Mid End,No,Yes,No,No,No,No,Digital Wallet,65.845,Yes,106.816666,-6.2,3160.3
1,Jakarta,High End,No,Yes,No,No,No,Yes,Credit,118.10499999999999,Yes,106.816666,-6.2,4451.2
11,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.935,Yes,106.816666,-6.2,7654.400000000001
55,Jakarta,High End,No,Yes,Yes,No,No,No,Pulsa,111.08500000000001,Yes,106.816666,-6.2,7152.6
34,Jakarta,High End,No,Yes,No,No,No,No,Credit,96.135,Yes,106.816666,-6.2,7533.5
69,Jakarta,High End,No,No,Yes,No,Yes,Yes,Credit,129.285,Yes,106.816666,-6.2,5226.0
1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.869999999999997,Yes,106.816666,-6.2,4356.3
1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.480000000000004,Yes,106.816666,-6.2,4482.400000000001
3,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,105.755,Yes,106.816666,-6.2,3663.4
22,Jakarta,High End,No,Yes,No,No,No,Yes,Pulsa,108.29,Yes,106.816666,-6.2,4945.2
1,Jakarta,High End,No,No,Yes,No,No,No,Debit,97.89,Yes,106.816666,-6.2,6372.6
61,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.22,Yes,106.816666,-6.2,5487.3
12,Jakarta,Mid End,No,No,No,No,No,No,Debit,59.02,Yes,106.816666,-6.2,3753.1
60,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,137.67000000000002,Yes,106.816666,-6.2,5336.5
1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,90.415,Yes,106.816666,-6.2,3629.6
28,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,105.365,Yes,106.816666,-6.2,6761.3
4,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,131.495,Yes,106.816666,-6.2,5742.1
7,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,129.74,Yes,106.816666,-6.2,2640.3
13,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,72.735,Yes,106.816666,-6.2,5847.400000000001
1,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,71.5,Yes,106.816666,-6.2,6340.1
1,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,97.11000000000001,Yes,106.816666,-6.2,7774.0
24,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,104.325,Yes,106.816666,-6.2,5743.400000000001
5,Jakarta,High End,No,No,No,Yes,Yes,Yes,Pulsa,124.92999999999999,Yes,106.816666,-6.2,5449.6
15,Jakarta,High End,No,No,No,No,No,No,Debit,89.7,Yes,106.816666,-6.2,7372.3
48,Jakarta,Mid End,Yes,No,Yes,No,No,Yes,Debit,58.89,Yes,106.816666,-6.2,6403.8
8,Jakarta,High End,No,Yes,No,No,Yes,No,Pulsa,108.615,Yes,106.816666,-6.2,3742.7000000000003
1,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.655,Yes,106.816666,-6.2,3658.2000000000003
2,Jakarta,High End,Yes,No,No,No,No,No,Pulsa,96.72000000000001,Yes,106.816666,-6.2,5541.900000000001
22,Jakarta,Mid End,No,Yes,Yes,No,No,Yes,Debit,56.875,Yes,106.816666,-6.2,4028.7000000000003
5,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,36.985,Yes,106.816666,-6.2,5328.7
12,Jakarta,High End,Yes,Yes,Yes,No,No,Yes,Debit,129.61,Yes,106.816666,-6.2,3299.4
20,Jakarta,High End,No,Yes,Yes,No,No,Yes,Pulsa,122.33,Yes,106.816666,-6.2,3465.8
2,Jakarta,High End,No,No,No,Yes,Yes,Yes,Pulsa,122.46000000000001,Yes,106.816666,-6.2,4829.5
6,Jakarta,High End,No,No,No,Yes,No,No,Pulsa,104.65,Yes,106.816666,-6.2,6541.6
5,Jakarta,High End,No,No,No,No,No,No,Pulsa,96.655,Yes,106.816666,-6.2,6854.900000000001
40,Jakarta,High End,No,No,Yes,Yes,Yes,Yes,Debit,136.24,Yes,106.816666,-6.2,4539.6
27,Jakarta,High End,Yes,No,No,No,No,No,Debit,97.76,Yes,106.816666,-6.2,5872.1
23,Jakarta,High End,No,No,No,No,No,No,Debit,98.28,Yes,106.816666,-6.2,2749.5
34,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.065,Yes,106.816666,-6.2,3338.4
1,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,110.5,Yes,106.816666,-6.2,7382.7
10,Jakarta,High End,No,No,No,No,Yes,No,Debit,111.865,Yes,106.816666,-6.2,3855.8
13,Jakarta,Mid End,Yes,No,No,Yes,Yes,No,Credit,59.214999999999996,Yes,106.816666,-6.2,6312.8
39,Jakarta,High End,No,Yes,No,No,Yes,No,Digital Wallet,112.19,Yes,106.816666,-6.2,4373.2
32,Jakarta,High End,No,Yes,No,No,No,No,Debit,104.455,Yes,106.816666,-6.2,7766.2
35,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.32500000000002,Yes,106.816666,-6.2,3567.2000000000003
56,Jakarta,High End,No,Yes,No,No,Yes,Yes,Credit,130.39000000000001,Yes,106.816666,-6.2,6721.0
12,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,24.7,Yes,106.816666,-6.2,4595.5
1,Jakarta,High End,Yes,No,No,No,No,No,Digital Wallet,97.89,Yes,106.816666,-6.2,4217.2
4,Jakarta,High End,No,No,Yes,No,Yes,No,Pulsa,115.96000000000001,Yes,106.816666,-6.2,7550.400000000001
1,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,111.41000000000001,Yes,106.816666,-6.2,6344.0
12,Jakarta,Mid End,Yes,No,Yes,Yes,No,No,Digital Wallet,80.145,Yes,106.816666,-6.2,7371.0
65,Jakarta,High End,Yes,No,Yes,No,Yes,Yes,Debit,136.82500000000002,Yes,106.816666,-6.2,5454.8
9,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,38.935,Yes,106.816666,-6.2,3344.9
9,Jakarta,Mid End,Yes,Yes,Yes,Yes,No,No,Digital Wallet,84.5,Yes,106.816666,-6.2,5177.900000000001
7,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,26.0,Yes,106.816666,-6.2,5822.7
49,Jakarta,High End,No,Yes,No,No,No,Yes,Credit,117.065,Yes,106.816666,-6.2,6576.7
43,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Debit,143.975,Yes,106.816666,-6.2,3546.4
65,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Pulsa,137.15,Yes,106.816666,-6.2,7436.0
56,Jakarta,High End,Yes,No,Yes,No,Yes,Yes,Debit,135.915,Yes,106.816666,-6.2,8148.400000000001
10,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,110.825,Yes,106.816666,-6.2,4644.900000000001
43,Jakarta,Mid End,No,No,No,No,Yes,No,Pulsa,72.995,Yes,106.816666,-6.2,2797.6
1,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,116.415,Yes,106.816666,-6.2,6494.8
20,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122.915,Yes,106.816666,-6.2,7285.2
1,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,59.410000000000004,Yes,106.816666,-6.2,2983.5
2,Jakarta,High End,No,Yes,No,No,No,Yes,Pulsa,116.35000000000001,Yes,106.816666,-6.2,2684.5
3,Jakarta,High End,No,No,No,No,No,No,Debit,90.415,Yes,106.816666,-6.2,3738.8
1,Jakarta,High End,No,No,Yes,No,No,No,Digital Wallet,96.97999999999999,Yes,106.816666,-6.2,5018.0
8,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Pulsa,25.544999999999998,Yes,106.816666,-6.2,7061.6
2,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.805000000000003,Yes,106.816666,-6.2,3070.6
4,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,31.525000000000002,Yes,106.816666,-6.2,2649.4
2,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.54500000000002,Yes,106.816666,-6.2,3019.9
4,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,59.345,Yes,106.816666,-6.2,3723.2000000000003
1,Jakarta,High End,No,No,No,No,No,No,Digital Wallet,97.565,Yes,106.816666,-6.2,6289.400000000001
52,Jakarta,Mid End,No,Yes,No,No,Yes,Yes,Pulsa,63.895,Yes,106.816666,-6.2,7276.1
2,Jakarta,Mid End,No,No,No,No,No,Yes,Pulsa,45.11000000000001,Yes,106.816666,-6.2,4089.8
1,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,104.0,Yes,106.816666,-6.2,2659.8
2,Jakarta,Mid End,Yes,No,No,No,No,No,Pulsa,64.025,Yes,106.816666,-6.2,4517.5
3,Jakarta,High End,No,No,No,No,No,No,Credit,97.63,Yes,106.816666,-6.2,6454.5
3,Jakarta,Mid End,No,No,Yes,No,No,No,Pulsa,65.19500000000001,Yes,106.816666,-6.2,4254.900000000001
25,Jakarta,High End,Yes,Yes,No,No,No,No,Debit,103.80499999999999,Yes,106.816666,-6.2,5895.5
1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.415000000000003,Yes,106.816666,-6.2,4622.8
4,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,111.73500000000001,Yes,106.816666,-6.2,7332.0
3,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,58.955000000000005,Yes,106.816666,-6.2,3185.0
33,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,122.85000000000001,Yes,106.816666,-6.2,5632.900000000001
30,Jakarta,High End,Yes,Yes,Yes,No,No,No,Credit,119.21000000000001,Yes,106.816666,-6.2,3226.6
45,Jakarta,High End,No,No,Yes,Yes,No,No,Pulsa,113.425,Yes,106.816666,-6.2,6849.7
10,Jakarta,High End,Yes,No,No,No,Yes,Yes,Pulsa,128.115,Yes,106.816666,-6.2,4755.400000000001
20,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,128.115,Yes,106.816666,-6.2,7077.2
15,Jakarta,High End,No,Yes,No,No,No,Yes,Debit,111.67000000000002,Yes,106.816666,-6.2,4652.7
22,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,116.025,Yes,106.816666,-6.2,4109.3
3,Jakarta,High End,No,No,No,No,No,No,Pulsa,91.39,Yes,106.816666,-6.2,3949.4
15,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,121.35499999999999,Yes,106.816666,-6.2,6843.2
1,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Digital Wallet,25.869999999999997,Yes,106.816666,-6.2,5522.400000000001
5,Jakarta,High End,Yes,No,Yes,No,No,Yes,Digital Wallet,115.57000000000001,Yes,106.816666,-6.2,5662.8
33,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,124.54,Yes,106.816666,-6.2,5409.3
2,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,106.60000000000001,Yes,106.816666,-6.2,3966.3
2,Jakarta,Mid End,No,No,No,No,No,No,Pulsa,58.955000000000005,Yes,106.816666,-6.2,4521.400000000001
1,Jakarta,Mid End,No,No,No,Yes,No,No,Pulsa,67.86,Yes,106.816666,-6.2,5379.400000000001
46,Jakarta,High End,Yes,Yes,Yes,No,Yes,Yes,Pulsa,143.0,Yes,106.816666,-6.2,3123.9
62,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,125.775,Yes,106.816666,-6.2,6520.8
10,Jakarta,High End,No,No,No,Yes,Yes,Yes,Pulsa,128.05,Yes,106.816666,-6.2,6739.2
6,Jakarta,High End,No,Yes,No,No,Yes,No,Pulsa,110.955,Yes,106.816666,-6.2,6102.2
40,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,131.69,Yes,106.816666,-6.2,3348.8
1,Jakarta,High End,No,No,No,No,No,No,Pulsa,90.415,Yes,106.816666,-6.2,3954.6
58,Jakarta,High End,No,Yes,Yes,No,Yes,Yes,Debit,134.225,Yes,106.816666,-6.2,7936.5
70,Jakarta,High End,Yes,No,No,Yes,Yes,Yes,Credit,135.20000000000002,Yes,106.816666,-6.2,5907.2
2,Jakarta,High End,No,No,Yes,No,No,Yes,Digital Wallet,112.06,Yes,106.816666,-6.2,3859.7000000000003
21,Jakarta,High End,No,Yes,Yes,Yes,Yes,Yes,Pulsa,144.56,Yes,106.816666,-6.2,5359.900000000001
16,Jakarta,High End,No,Yes,Yes,No,Yes,No,Credit,116.28500000000001,Yes,106.816666,-6.2,4804.8
7,Jakarta,High End,No,No,No,No,Yes,Yes,Debit,124.28,Yes,106.816666,-6.2,4244.5
60,Jakarta,High End,No,Yes,Yes,No,Yes,No,Pulsa,118.23500000000001,Yes,106.816666,-6.2,5344.3
50,Jakarta,High End,Yes,Yes,No,Yes,Yes,Yes,Pulsa,141.115,Yes,106.816666,-6.2,5556.2
4,Jakarta,High End,No,No,No,No,Yes,No,Pulsa,102.505,Yes,106.816666,-6.2,6891.3
1,Jakarta,Mid End,No,No,No,No,No,No,Digital Wallet,57.72,Yes,106.816666,-6.2,4578.6
55,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.0,Yes,106.816666,-6.2,7382.7
12,Jakarta,Low End,No internet service,No internet service,No internet service,No,No internet service,No internet service,Debit,25.740000000000002,Yes,106.816666,-6.2,3448.9
1,Jakarta,High End,No,No,No,No,Yes,Yes,Pulsa,116.87,Yes,106.816666,-6.2,7736.3
62,Jakarta,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.19500000000002,Yes,106.816666,-6.2,7280.0
1,Jakarta,Mid End,No,Yes,No,No,No,No,Pulsa,66.03999999999999,Yes,106.816666,-6.2,4833.400000000001
20,Jakarta,High End,No,Yes,No,No,No,No,Pulsa,95.745,Yes,106.816666,-6.2,7603.7
3,Jakarta,High End,No,Yes,No,No,Yes,Yes,Pulsa,123.63,Yes,106.816666,-6.2,7619.3
22,Jakarta,High End,No,No,No,No,Yes,Yes,Credit,123.04500000000002,Yes,106.816666,-6.2,4764.5
4,Jakarta,High End,No,No,Yes,Yes,No,No,Digital Wallet,104.78,Yes,106.816666,-6.2,4004.0
59,Jakarta,High End,No,No,No,No,No,Yes,Pulsa,111.215,Yes,106.816666,-6.2,8195.2
60,Bandung,Mid End,No,Yes,No,No,Yes,Yes,Pulsa,66.03999999999999,Yes,107.60981,-6.914744,6423.3
15,Bandung,High End,Yes,No,Yes,Yes,Yes,Yes,Pulsa,136.63,Yes,107.60981,-6.914744,2758.6
10,Bandung,High End,Yes,Yes,Yes,Yes,Yes,Yes,Pulsa,143.13,Yes,107.60981,-6.914744,7543.900000000001
6,Bandung,High End,No,No,Yes,No,No,Yes,Pulsa,109.07000000000001,Yes,107.60981,-6.914744,5150.6
63,Bandung,High End,Yes,Yes,Yes,No,Yes,No,Pulsa,130.715,Yes,107.60981,-6.914744,7036.900000000001
50,Bandung,High End,No,Yes,Yes,No,Yes,Yes,Debit,135.005,Yes,107.60981,-6.914744,7555.6
1,Bandung,Mid End,No,No,No,No,No,No,Pulsa,31.980000000000004,Yes,107.60981,-6.914744,7498.400000000001
12,Bandung,High End,Yes,No,No,Yes,Yes,Yes,Debit,128.57000000000002,Yes,107.60981,-6.914744,7226.7
9,Bandung,High End,No,No,Yes,No,Yes,Yes,Credit,127.79,Yes,107.60981,-6.914744,3840.2000000000003
17,Bandung,High End,Yes,No,No,No,Yes,Yes,Pulsa,122.005,Yes,107.60981,-6.914744,6422.0
9,Bandung,High End,No,No,Yes,No,Yes,Yes,Pulsa,130.65,Yes,107.60981,-6.914744,5249.400000000001
10,Bandung,High End,No,Yes,No,No,No,No,Pulsa,94.705,Yes,107.60981,-6.914744,4145.7
